	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
7326	07185.2*H	KY	'H1	40	40	ASPH			H1						37-45-20.7600N	135920.7600N	084-50-59.8400W	305459.8400W	920.0																																							
7327	07186.*A	KY	'03/21	5000	75	ASPH-G		MED	03	25.0			NPI	F	37-27-08.3254N	134828.3254N	086-51-12.3069W	312672.3069W	530.3	40.0	3.0		P2L			TREES	11.0	21	205.0			NPI	F	37-27-53.2463N	134873.2463N	086-50-46.4031W	312646.4031W	536.8	47.0	3.5		P2L			TREES	71.0	20.0	50.0										
7328	07190.*H	KY	'H1	40	40	CONC			H1						37-10-02.1000N	133802.1000N	083-24-01.5000W	300241.5000W	482.0																																							
7329	07191.08*H	KY	'H1	44	44	ROOF-TOP			H1						37-16-41.0000N	134201.0000N	083-13-40.0000W	299620.0000W	1232.0																																							
7330	07191.1*A	KY	'06/24	3246	60	ASPH-P			06	59.0			BSC	P	37-23-22.0113N	134602.0113N	083-16-11.2344W	299771.2344W	1242.3			200.0						24	239.0			BSC	P	37-23-38.3898N	134618.3898N	083-15-36.6540W	299736.6540W	1242.5			271.0						12.0											
7331	07191.1*A	KY	'14/32	5499	100	ASPH-F		MED	14	139.0	LOCALIZER		NPI	F	37-23-25.7177N	134605.7177N	083-15-56.9651W	299756.9651W	1243.0	31.0	3.0		P4L			TREE	246.0	32	319.0			NPI	F	37-22-44.7639N	134564.7639N	083-15-12.1643W	299712.1643W	1256.4	38.0	4.0		P4L			TREES	234.0	30.0											
7332	07194.*A	KY	'09/27	5503	100	ASPH-G		MED	09	88.0		False	NPI	G	37-48-27.4355N	136107.4355N	087-41-42.7516W	315702.7516W	384.2	43.0	3.0		P4L					27	268.0		False	NPI	G	37-48-28.9957N	136108.9957N	087-40-34.2095W	315634.2095W	386.1	30.0	3.0		P4L			ROAD	16.0	41.0	60.0	130.0									
7333	07194.01*H	KY	'H1	50	50	CONC		PERI	H1						37-51-20.0300N	136280.0300N	087-35-01.6200W	315301.6200W	460.0																																							
7334	07194.11*A	KY	'03/21	2300	80	TURF			03			False														PLINE		21			False														PLINE													
7335	07194.7*H	KY	'H1	23	23	CONC			H1						39-02-40.2400N	140560.2400N	084-27-45.3200W	304065.3200W	850.0																																							
7336	07195.*A	KY	'15/33	1700	30	ASPH			15			False														TREES		33			False														TREES													
7337	07197.2*A	KY	'03/21	1700	60	TURF			03																			21																														
7338	07198.*A	KY	'08/26	5505	100	ASPH-G		MED	08	78.0		False	NPI	G	36-51-19.3277N	132679.3277N	087-27-51.3864W	314871.3864W	536.7	38.0	3.5		P4L			TREES	87.0	26	258.0	LOCALIZER	False	NPI	G	36-51-30.8434N	132690.8434N	087-26-45.1818W	314805.1818W	563.5	34.0	4.0		P4L			TREES	61.0	14.0											
7339	07198.12*H	KY	'H1	40	40	MATS		PERI	H1						36-51-38.9100N	132698.9100N	087-29-51.6500W	314991.6500W	550.0																																							
7340	07199.03*H	KY	'H1	40	40	CONC			H1						37-09-41.6000N	133781.6000N	085-55-23.7000W	309323.7000W	630.0																																							
7341	07202.*A	KY	'10/28	2000	65	TURF			10																			28			True														TOWER	295.0												
7342	07203.03*H	KY	'H1	40	40	CONC			H1						37-51-10.0000N	136270.0000N	082-32-46.0000W	297166.0000W	640.0																																							
7343	07215.04*H	KY	'H1	30	30	CONC		PERI	H1						37-33-53.9000N	135233.9000N	083-22-12.0000W	300132.0000W	738.0																																							
