site_number	state	sequence_number	service_schedule
18021.1*A	OH	1	ALL/ALL/0800-1700
18021.11*H	OH	1	IRREGULAR
18021.2*H	OH	1	UNATTENDED
18022.*A	OH	1	ALL/ALL/DALGT
18024.5*A	OH	1	UNATTENDED
18030.*H	OH	1	UNATTENDED
18033.51*A	OH	1	UNATTENDED
18033.52*H	OH	1	UNATTENDED
18033.6*A	OH	1	UNATTENDED
18033.94*A	OH	1	UNATTENDED
18033.98*H	OH	1	UNATTENDED
18033.99*H	OH	1	ALL/ALL/ALL
18045.*A	OH	2	MAY-SEP/MON-FRI/0800-1300
18045.*A	OH	3	OCT-APR/MON-FRI/0830-1330
18045.1*A	OH	1	UNATTENDED
18048.02*A	OH	1	UNATTENDED
18048.1*A	OH	1	IRREGULAR
18052.*H	OH	1	ALL/ALL/ALL
18052.53*A	OH	1	ALL/ALL/ALL
18053.03*A	OH	1	UNATTENDED
18056.*A	OH	1	UNATTENDED
18061.*A	OH	1	ALL/MON-FRI/0630-DUSK
18061.*A	OH	2	ALL/SAT-SUN/0800-DUSK
18064.11*H	OH	1	UNATTENDED
18064.12*A	OH	1	IRREGULAR
18065.1*A	OH	1	ALL/MON-FRI/0900-1800
18065.1*A	OH	2	ALL/SAT-SUN/0900-1700
18065.7*H	OH	1	UNATTENDED
18066.2*A	OH	1	ALL/MON-FRI/0800-1700
18067.*A	OH	1	ALL/MON-FRI/1000-1600
18067.01*A	OH	1	ALL/MON-FRI/0800-1700
18067.46*A	OH	1	UNATTENDED
18067.71*A	OH	1	UNATTENDED
18067.8*A	OH	1	UNATTENDED
18068.01*A	OH	1	UNATTENDED
18075.*A	OH	1	ALL/ALL/0800-1800
18075.01*H	OH	1	UNATTENDED
18075.2*A	OH	1	UNATTENDED
18075.6*A	OH	1	UNATTENDED
18076.1*A	OH	1	ALL/ALL/0730-2200
18076.13*H	OH	1	ALL/MON-FRI/0800-1600
18078.*A	OH	1	UNATTENDED
18079.*A	OH	1	ALL/MON-SAT/07:00-17:00
18079.*A	OH	2	ALL/SUN/PRIOR ARRANGEMENT
18083.*A	OH	1	MAR-NOV/IREG/DALGT
18084.5*A	OH	1	IRREGULAR
18085.1*A	OH	1	ALL/MON-FRI/0800-1700
18085.1*A	OH	2	ALL/SAT/0900-1600
18085.1*A	OH	3	ALL/SUN/1300-1700
18085.12*H	OH	1	UNATTENDED
18085.13*H	OH	1	ALL/ALL/DALGT
18085.14*H	OH	1	UNATTENDED
18095.*A	OH	1	UNATTENDED
18095.01*H	OH	1	UNATTENDED
18101.21*A	OH	4	ALL/MON-FRI/0800-1600
18101.21*A	OH	5	ALL/SAT-SUN/0900-1700
18101.22*H	OH	1	UNATTENDED
18106.1*A	OH	1	ALL/MON-FRI/0700-2300
18106.1*A	OH	2	ALL/SAT-SUN/0700-2200
18108.*A	OH	1	UNATTENDED
18112.1*A	OH	1	UNATTENDED
18115.*A	OH	1	ALL/ALL/IREG
18115.1*A	OH	1	UNATTENDED
18115.12*A	OH	1	UNATTENDED
18115.5*A	OH	1	UNATTENDED
18115.52*H	OH	1	UNATTENDED
18115.94*A	OH	1	UNATTENDED
18117.*A	OH	1	ALL/ALL/DALGT
18123.1*A	OH	1	ALL/ALL/IREG
18125.*A	OH	1	UNATTENDED
18136.01*H	OH	1	UNATTENDED
18136.02*A	OH	1	IRREGULAR
18136.1*A	OH	1	IRREGULAR
18142.1*A	OH	1	ALL/ALL/ALL
18150.*A	OH	1	UNATTENDED
18154.11*A	OH	1	ALL/ALL/DALGT
18154.12*H	OH	1	UNATTENDED
18154.13*H	OH	1	ALL/MON-FRI/0730-1600
18154.18*H	OH	1	ALL/MON-FRI/0800-1700
18154.19*H	OH	1	ALL/ALL/ALL
18154.2*A	OH	1	UNATTENDED
18157.*A	OH	1	ALL/MON - FRI/0700-1900
18157.*A	OH	2	ALL/SAT-SUN/0800-1800
18157.11*H	OH	1	ALL/ALL/IREG
18158.01*A	OH	1	UNATTENDED
18163.*H	OH	1	ALL/ALL/ALL
18163.01*H	OH	1	UNATTENDED
18166.*A	OH	1	UNATTENDED
18166.4*H	OH	1	ALL/ALL/ALL
18167.*A	OH	1	ALL/ALL/0800-1700
18169.3*A	OH	1	UNATTENDED
18169.5*A	OH	1	ALL/ALL/DALGT
18170.2*A	OH	2	NOV-APRIL/ALL/0800-1800
18170.2*A	OH	3	MAY-OCT/ALL/0800-1900
18170.21*H	OH	1	UNATTENDED
18170.22*H	OH	1	UNATTENDED
18170.23*A	OH	1	ALL/ALL/ALL
18172.5*A	OH	1	ALL/ALL/ALL
18172.52*H	OH	1	ALL/ALL/0600-2200
18173.21*H	OH	1	ALL/MON-FRI/0900-1700
18173.24*H	OH	1	UNATTENDED
18179.1*H	OH	1	UNATTENDED
18179.11*H	OH	1	ALL/ALL/DAWN-DUSK
18180.*H	OH	1	UNATTENDED
18187.3*A	OH	1	ALL/ALL/0800-DUSK
18187.31*H	OH	1	UNATTENDED
18187.33*H	OH	1	ALL/ALL/ALL
18192.01*H	OH	1	UNATTENDED
18194.*A	OH	1	MAY-OCT/ALL/IREG
18194.*A	OH	2	NOV-APR/UNATNDD/
18194.11*A	OH	1	UNATTENDED
18194.5*H	OH	1	UNATTENDED
18196.*A	OH	1	ALL/MON/0900-1700
18196.*A	OH	2	ALL/TUE-SUN/0900-1700 IREG
18196.01*H	OH	1	ALL/MON-FRI/0900-1800
18196.02*H	OH	1	ALL/ALL/ALL
18199.*A	OH	3	ALL/ALL/0800-1700
18199.02*H	OH	1	UNATTENDED
18200.*A	OH	1	UNATTENDED
18202.*A	OH	1	UNATTENDED
18204.*A	OH	1	UNATTENDED
18205.1*A	OH	1	ALL/MON-FRI/0800-1900
18205.1*A	OH	2	ALL/SAT/1000-1800
18205.1*A	OH	3	ALL/SUN/1230-1700
18212.01*A	OH	1	IRREGULAR
18212.02*A	OH	1	UNATTENDED
18212.1*A	OH	1	UNATTENDED
18225.*H	OH	1	ALL/ALL/ALL
18225.6*A	OH	1	UNATTENDED
18226.52*H	OH	1	UNATTENDED
18227.*A	OH	1	UNATTENDED
18227.12*H	OH	1	ALL/ALL/ALL
18227.13*A	OH	1	UNATTENDED
18230.*A	OH	1	ALL/MON-FRI/0900-1800
18230.01*A	OH	1	UNATTENDED
18233.*A	OH	1	UNATTENDED
18233.01*A	OH	1	UNATTENDED
18237.*H	OH	1	ALL/ALL/ALL
18237.1*A	OH	1	ALL/MON-FRI/0700-1700
18237.1*A	OH	2	ALL/SAT-SUN/0900-1700
18239.*A	OH	1	APR-SEP/MON-SAT/0800-1800
18239.*A	OH	2	OCT-MAR/MON-SAT/0800-1600
18244.*A	OH	1	UNATTENDED
18253.*A	OH	1	APR-SEP/MON-FRI/0800-1730
18253.*A	OH	2	OCT-MAR/MON-FRI/0800-1730
18253.01*A	OH	1	ALL/ALL/ALL
18253.02*H	OH	1	UNATTENDED
18257.51*A	OH	1	UNATTENDED
18262.*A	OH	4	APR-OCT/ALL/0730-1930
18262.*A	OH	5	NOV-MAR/ALL/0730-DARK
18262.02*H	OH	1	UNATTENDED
18262.5*H	OH	1	UNATTENDED
18262.8*A	OH	1	UNATTENDED
18262.81*A	OH	1	UNATTENDED
18266.1*A	OH	1	UNATTENDED
18288.4*A	OH	1	ALL/ALL/DUSK-DAWN
18288.42*A	OH	1	UNATTENDED
18291.*A	OH	2	ALL/MON-SAT/0800-1600
18291.7*A	OH	1	UNATTENDED
18298.*A	OH	1	APR-SEP/ALL/0900-1700
18298.*A	OH	2	OCT-MAR/ALL/0730-1700
18305.2*A	OH	1	ALL/ALL/ALL
18305.3*A	OH	1	IRREGULAR
18309.5*A	OH	1	UNATTENDED
18310.*A	OH	1	UNATTENDED
18311.*A	OH	1	UNATTENDED
18313.*A	OH	1	UNATTENDED
18315.*A	OH	1	IRREGULAR
18315.41*H	OH	1	ALL/ALL/ALL
18315.851*A	OH	1	UNATTENDED
18319.*H	OH	1	ALL/MON-FRI/0800-1800
18322.*A	OH	1	UNATTENDED
18322.01*C	OH	1	UNATTENDED
18328.*H	OH	1	IRREGULAR
18339.*A	OH	1	ALL/ALL/0700-1900
18339.12*A	OH	1	UNATTENDED
18339.6*H	OH	1	UNATTENDED
18341.*H	OH	1	ALL/ALL/DALGT
18348.01*H	OH	1	UNATTENDED
18351.12*H	OH	1	UNATTENDED
18361.2*H	OH	1	12/365/24
18362.11*H	OH	1	ALL/ALL/ALL
18362.4*A	OH	1	ALL/ALL/ALL
18362.9*H	OH	1	ALL/ALL/ALL
18365.01*A	OH	1	ALL/MON-FRI/0900-1700
18365.02*A	OH	1	IRREGULAR
18367.5*A	OH	1	MAY-SEP/ALL/DAWN-DUSK
18369.*A	OH	1	UNATTENDED
18369.01*H	OH	1	UNATTENDED
18369.2*H	OH	1	UNATTENDED
18372.1*A	OH	1	IRREGULAR
18372.23*H	OH	1	UNATTENDED
18372.3*A	OH	1	UNATTENDED
18375.01*A	OH	1	ALL/ALL/ALL
18376.*H	OH	1	UNATTENDED
18376.01*H	OH	1	ALL/ALL/DALGT
18377.12*A	OH	1	ALL/ALL/DALGT
18377.3*A	OH	1	UNATTENDED
18378.97*A	OH	1	UNATTENDED
18385.8*H	OH	1	UNATTENDED
18388.8*H	OH	1	ALL/MON-SAT/0800-1700
18388.81*H	OH	1	UNATTENDED
18389.*A	OH	1	ALL/ALL/ALL
18392.*A	OH	1	ALL/SUN/1000-1700
18392.*A	OH	2	ALL/MON-SAT/0900-1700
18394.*A	OH	1	ALL/M-F/0800-1700
18394.*A	OH	2	ALL/S-S/UNATND
18394.01*A	OH	1	ALL/ALL/ALL
18394.02*A	OH	1	UNATTENDED
18394.04*A	OH	1	UNATTENDED
18397.12*A	OH	1	UNATTENDED
18399.*A	OH	1	ALL/ALL/ALL
18399.1*A	OH	1	ALL/ALL/0800-1600
18399.5*G	OH	1	IRREGULAR
18411.*A	OH	1	ALL/ALL/0700-1800
18411.1*H	OH	1	UNATTENDED
18414.5*H	OH	1	UNATTENDED
18415.*A	OH	1	APR-OCT/ALL/0800-2000
18415.*A	OH	2	NOV-MAR/ALL/0800-1800
18415.05*H	OH	1	ALL/ALL/ALL
18419.01*H	OH	1	UNATTENDED
18423.*A	OH	1	UNATTENDED
18423.1*A	OH	1	ALL/ALL/ON REQ
18425.*A	OH	1	UNATTENDED
18427.*A	OH	1	ALL/ALL/ALL
18432.5*A	OH	1	ALL/MON-FRI/0800-1700
18432.511*A	OH	1	UNATTENDED
18432.52*H	OH	1	ALL/ALL/ALL
18432.55*H	OH	1	ALL/MON-FRI/0730-1630
18432.6*A	OH	1	APR-NOV/ALL/0800-2000
18439.*A	OH	1	UNATTENDED
18442.*A	OH	1	UNATTENDED
18457.8*A	OH	1	UNATTENDED
18468.11*H	OH	1	UNATTENDED
18468.5*A	OH	1	ALL/ALL/0800-DUSK
18468.82*C	OH	1	APR-NOV/ALL/0800-1700
18468.93*A	OH	1	UNATTENDED
18469.*H	OH	1	UNATTENDED
18469.01*H	OH	1	UNATTENDED
18469.3*A	OH	1	UNATTENDED
18469.4*A	OH	1	ALL/ALL/DALGT
18474.02*H	OH	1	ALL/ALL/ALL
18474.04*A	OH	1	UNATTENDED
18477.*H	OH	1	ALL/MON-FRI/0800-1700
18480.*H	OH	1	UNATTENDED
18481.*A	OH	1	ALL/ALL/0900-DUSK
18482.*A	OH	1	UNATTENDED
18495.*A	OH	1	IRREGULAR
18495.01*H	OH	1	ALL/MON-FRI/0800-1700
18495.21*H	OH	1	UNATTENDED
18495.6*A	OH	1	UNATTENDED
18496.*A	OH	1	ALL/ALL/0600-1700
18499.5*A	OH	1	UNATTENDED
18504.*A	OH	1	UNATTENDED
18512.1*A	OH	1	ALL/ALL/0800-1800
18512.11*H	OH	1	ALL/MON-FRI/0730-1630
18519.*A	OH	1	UNATTENDED
18522.01*A	OH	1	ALL/ALL/ALL
18528.21*A	OH	1	IRREGULAR
18528.22*H	OH	1	UNATTENDED
18528.26*H	OH	1	UNATTENDED
18536.*A	OH	1	ALL/MON-FRI/0730-1800
18536.*A	OH	2	ALL/SAT-SUN/0900-1700
18538.1*A	OH	1	ALL/ALL/ALL
18560.*A	OH	1	UNATTENDED
18562.*A	OH	1	ALL/ALL/0900 - 1700
18562.01*H	OH	1	ALL/ALL/ALL
18563.*A	OH	1	UNATTENDED
18563.06*A	OH	1	UNATTENDED
18563.38*A	OH	1	UNATTENDED
18563.44*A	OH	1	UNATTENDED
18563.5*H	OH	1	ALL/ALL/ALL
18563.6*H	OH	1	ALL/ALL/ALL
18563.91*A	OH	1	UNATTENDED
18563.911*A	OH	1	UNATTENDED
18563.912*A	OH	1	UNATTENDED
18563.96*A	OH	1	UNATTENDED
18565.*A	OH	1	ALL/ALL/0800-DUSK
18565.7*H	OH	1	UNATTENDED
18574.02*H	OH	1	ALL/M-F/8AM-5PM
18574.03*H	OH	1	UNATTENDED
18574.04*H	OH	1	ALL/ALL/ALL
18574.05*H	OH	1	UNATTENDED
18574.08*H	OH	1	ALL/ALL/ALL
18574.1*H	OH	1	UNATTENDED
18577.*A	OH	1	ALL/ALL/ALL
18577.01*H	OH	1	UNATTENDED
18578.*C	OH	1	UNATTENDED
18579.*A	OH	1	ALL/MON-FRI/ALL
18579.*A	OH	2	ALL/SAT-SUN/0800-2000
18582.*A	OH	1	IRREGULAR
18584.*A	OH	1	IRREGULAR
18585.*A	OH	1	ALL/ALL/DAWN-DUSK
18585.12*A	OH	1	UNATTENDED
18585.13*H	OH	1	ALL/MON-FRI/0800-1730
18585.2*A	OH	1	IRREGULAR
18585.21*H	OH	1	UNATTENDED
18602.19*H	OH	1	UNATTENDED
18602.2*A	OH	1	UNATTENDED
18603.*A	OH	1	ALL/TUE-SAT/0800-1630
18603.*A	OH	2	ALL/SUN-MON/UNATNDD
18603.01*H	OH	1	ALL/ALL/ALL
18603.11*A	OH	1	UNATTENDED
18604.61*A	OH	1	UNATTENDED
18604.62*A	OH	1	UNATTENDED
18609.*A	OH	2	ALL/MON-FRI/07:00-16:00
18609.*A	OH	3	ALL/SAT-SUN/PRIOR ARRANGEMENT
18613.01*H	OH	1	ALL/ALL/ALL
18613.02*H	OH	1	ALL/MON-FRI/0800-1500
18615.*A	OH	1	ALL/MON-FRI/0800-1630
18618.1*A	OH	1	UNATTENDED
18618.11*A	OH	1	UNATTENDED
18619.6*A	OH	1	UNATTENDED
18621.1*A	OH	1	ALL/ALL/ALL
18621.11*H	OH	1	UNATTENDED
18621.12*A	OH	1	ALL/ALL/DAWN TO DUSK
18621.7*A	OH	1	ALL/MON-SAT/0800-DUSK
18621.7*A	OH	2	ALL/SUN/0900-1700
18621.77*H	OH	1	UNATTENDED
18622.31*A	OH	1	ALL/MON - FRI/0700-1700
18628.*A	OH	1	ALL/ALL/IREG
18628.1*A	OH	1	ALL/ALL/0800-2100
18642.2*A	OH	1	ALL/MON-SAT/0800-1800
18642.21*H	OH	1	UNATTENDED
18645.1*A	OH	1	ALL/MON-SAT/1000-1800
18645.1*A	OH	2	ALL/SUN/UNATND
18645.3*H	OH	1	ALL/ALL/ALL
18648.1*A	OH	1	ALL/MON-FRI/0800-1600
18651.01*A	OH	1	ALL/ALL/ALL
18651.2*A	OH	1	ALL/ALL/0800-DUSK
18651.21*G	OH	1	ALL/ALL/DALGT
18651.23*A	OH	1	UNATTENDED
18652.5*H	OH	1	ALL/ALL/ALL
18652.9*A	OH	1	UNATTENDED
18653.4*H	OH	1	UNATTENDED
18655.02*A	OH	1	ALL/ALL/INTMT
18656.111*A	OH	1	ALL/ALL/IRREGULAR
18657.01*A	OH	1	ALL/ALL/ALL
18663.8*A	OH	1	UNATTENDED
18664.24*H	OH	1	UNATTENDED
18690.20*H	OH	1	UNATTENDED
18693.*A	OH	1	ALL/MON-SAT/0800-1700
18696.*A	OH	1	UNATTENDED
18698.5*A	OH	1	UNATTENDED
18705.*A	OH	1	ALL/ALL/0700-2100
18710.*A	OH	1	ALL/ALL/ALL
18717.*A	OH	1	ALL/MON-FRI/0700-2300
18717.*A	OH	2	ALL/SAT-SUN/0800-1700
18717.01*A	OH	3	ALL/M-SAT/0900-1700
18717.01*A	OH	4	ALL/SUN/1200-1700
18717.02*A	OH	1	ALL/SAT-SUN/1200-1800
18717.03*H	OH	1	UNATTENDED
18717.04*H	OH	1	ALL/ALL/ALL
18717.05*A	OH	1	UNATTENDED
18717.1*A	OH	1	ALL/ALL/DALGT
18717.81*H	OH	1	UNATTENDED
18720.1*A	OH	1	IRREGULAR
18720.11*H	OH	1	UNATTENDED
18722.2*A	OH	1	UNATTENDED
18722.21*A	OH	3	MAY - OCT/MON-FRI/0700-1900
18722.21*A	OH	5	NOV-APR/MON-FRI/0800-1900
18722.21*A	OH	6	ALL/SAT-SUN/0900-1700
18722.211*A	OH	1	ALL/IREG/DALGT
18722.22*A	OH	1	UNATTENDED
18722.23*A	OH	1	ALL/ALL/IREG
18722.24*A	OH	1	UNATTENDED
18733.*A	OH	1	ALL/ALL/DALGT
18740.2*A	OH	1	UNATTENDED
18744.*A	OH	2	UNATTENDED
18744.02*H	OH	1	ALL/ALL/ALL
18745.*A	OH	1	ALL/ALL/0730-1800
18753.*A	OH	1	ALL/ALL/ALL
18761.*A	OH	2	ALL/MON-FRI/0800-1800
18761.*A	OH	3	ALL/SAT-SUN/1000-1800
18762.*A	OH	1	ALL/MON-SAT/1000-DUSK
18762.01*A	OH	1	IRREGULAR
18762.12*H	OH	1	ALL/ALL/ALL
18762.14*H	OH	1	IRREGULAR
18763.*A	OH	1	UNATTENDED
18770.3*A	OK	1	UNATTENDED
18770.32*H	OK	1	UNATTENDED
18770.4*A	OK	1	ALL/SAT-SUN/DALGT
18771.*A	OK	1	ALL/MON-SAT/0800-1800
18771.*A	OK	2	ALL/SUN/1200-1700
18771.01*H	OK	1	ALL/ALL/ALL
18772.*A	OK	1	UNATTENDED
18775.1*A	OK	1	APR-OCT/ALL/0600-2100
18775.1*A	OK	2	NOV-MAR/ALL/0700-1900
18775.11*C	OK	1	UNATTENDED
18779.*A	OK	2	ALL/ALL/0800-1800
18779.1*A	OK	1	ALL/ALL/1800-1700
18779.11*A	OK	1	UNATTENDED
18779.2*A	OK	1	IRREGULAR
18780.*A	OK	1	ALL/MON-FRI/1500-0830Z++
18783.1*A	OK	2	ALL/ALL/0800-1700
18783.2*A	OK	1	UNATTENDED
18783.21*A	OK	1	UNATTENDED
18783.3*A	OK	1	UNATTENDED
18785.*A	OK	1	UNATTENDED
18787.*A	OK	1	UNATTENDED
18794.1*A	OK	1	UNATTENDED
18794.11*A	OK	1	UNATTENDED
18794.12*A	OK	1	UNATTENDED
18794.13*H	OK	1	UNATTENDED
18794.14*A	OK	1	UNATTENDED
18795.*A	OK	1	ALL/MON-FRI/0700-2300
18795.*A	OK	2	ALL/SAT-SUN/0700-1700
18796.*A	OK	1	ALL/MON-FRI/0800-1600
18796.*A	OK	2	ALL/SAT/0800-1200
18796.*A	OK	3	ALL/SUN/ON CALL
18796.5*A	OK	1	UNATTENDED
18797.*A	OK	1	UNATTENDED
18797.01*H	OK	1	UNATTENDED
18797.03*A	OK	1	UNATTENDED
18798.*H	OK	1	UNATTENDED
18799.*A	OK	1	ALL/ALL/ALL
18803.*A	OK	1	ALL/MON-THU/0700-1900
18803.*A	OK	3	ALL/SAT-SUN/0800-1600
18803.*A	OK	4	ALL/FRI/0700-1800
18803.01*A	OK	1	ALL/ALL/ALL
18803.02*H	OK	1	UNATTENDED
18809.*A	OK	1	UNATTENDED
18809.5*A	OK	1	UNATTENDED
18815.*U	OK	1	UNATTENDED
18817.1*A	OK	1	IRREGULAR
18818.*A	OK	1	ALL/ALL/DALGT
18821.*A	OK	1	UNATTENDED
18821.18*A	OK	1	UNATTENDED
18825.*A	OK	1	UNATTENDED
18833.3*H	OK	1	UNATTENDED
18834.3*A	OK	1	UNATTENDED
18835.*A	OK	1	UNATTENDED
18835.1*A	OK	2	UNATTENDED
18835.11*H	OK	1	UNATTENDED
18835.13*A	OK	1	UNATTENDED
18837.9*A	OK	1	UNATTENDED
18841.1*A	OK	1	UNATTENDED
18841.11*A	OK	1	UNATTENDED
18843.01*A	OK	1	UNATTENDED
18844.2*A	OK	1	UNATTENDED
18844.25*A	OK	1	UNATTENDED
18844.72*A	OK	1	UNATTENDED
18845.91*A	OK	1	UNATTENDED
18845.92*H	OK	1	UNATTENDED
18846.20*A	OK	1	UNATTENDED
18847.01*A	OK	1	UNATTENDED
18847.02*A	OK	1	UNATTENDED
18847.03*A	OK	1	UNATTENDED
18849.01*H	OK	1	IRREGULAR
18855.*A	OK	1	UNATTENDED
18855.01*H	OK	1	UNATTENDED
18858.*A	OK	2	IRREGULAR
18862.1*A	OK	1	UNATTENDED
18862.12*A	OK	1	UNATTENDED
18863.20*A	OK	1	UNATTENDED
18864.11*A	OK	1	UNATTENDED
18864.12*H	OK	1	UNATTENDED
18865.*A	OK	1	ALL/ALL/0800-1700
18865.01*A	OK	1	ALL/ALL/DALGT
18865.02*A	OK	1	UNATTENDED
18865.04*A	OK	1	UNATTENDED
18874.3*A	OK	1	ALL/ALL/0800-1700
18874.32*A	OK	1	UNATTENDED
18874.33*H	OK	1	UNATTENDED
18874.34*A	OK	1	UNATTENDED
18874.41*A	OK	1	UNATTENDED
18876.11*A	OK	2	UNATTENDED
18876.12*H	OK	1	UNATTENDED
18877.01*H	OK	1	UNATTENDED
18878.1*A	OK	1	ALL/ALL/0800-1700
18888.*A	OK	1	UNATTENDED
18888.11*A	OK	1	UNATTENDED
18890.*A	OK	1	ALL/ALL/ALL
18890.01*A	OK	1	UNATTENDED
18890.02*H	OK	1	UNATTENDED
18890.03*A	OK	1	UNATTENDED
18890.1*A	OK	1	UNATTENDED
18891.*A	OK	1	UNATTENDED
18891.23*A	OK	1	UNATTENDED
18892.*A	OK	1	IRREGULAR
18892.01*A	OK	1	UNATTENDED
18893.*A	OK	1	UNATTENDED
18897.*A	OK	1	ALL/MON-FRI/0800-1700
18897.01*H	OK	1	UNATTENDED
18898.5*A	OK	1	UNATTENDED
18905.*A	OK	1	ALL/MON-SAT/0800-1700
18905.01*H	OK	1	ON CALL
18905.02*H	OK	1	UNATTENDED
18917.01*A	OK	1	UNATTENDED
18922.*A	OK	1	UNATTENDED
18922.01*H	OK	1	UNATTENDED
18922.02*H	OK	1	UNATTENDED
18922.03*H	OK	1	UNATTENDED
18932.*A	OK	1	ALL/ALL/0700-1800
18932.01*H	OK	1	ALL/ALL/ALL
18932.18*A	OK	1	UNATTENDED
18932.2*A	OK	1	UNATTENDED
18934.*A	OK	1	ALL/MON-FRI/0800-1700
18934.*A	OK	2	ALL/SAT-SUN/0900-1700
18934.01*H	OK	1	UNATTENDED
18934.1*A	OK	1	UNATTENDED
18939.01*A	OK	1	ALL/MON-SAT/IREG
18941.*A	OK	1	UNATTENDED
18941.03*A	OK	1	IRREGULAR
18941.04*H	OK	1	UNATTENDED
18945.*A	OK	1	UNATTENDED
18946.*A	OK	2	ALL/MON-SAT/0800-1700
18947.*A	OK	1	UNATTENDED
18949.*A	OK	1	ALL/ALL/0700-1700
18949.02*A	OK	1	UNATTENDED
18949.1*A	OK	1	UNATTENDED
18951.*A	OK	1	ALL/MON-FRI/0800-1700
18952.2*H	OK	1	UNATTENDED
18953.*A	OK	1	ALL/ALL/0600-2130
18954.*A	OK	3	ALL/SUN/1900-2300Z (DT 2000-0000Z)
18954.*A	OK	4	ALL/MON-FRI/1300-0200Z
18960.*A	OK	1	UNATTENDED
18962.1*A	OK	1	UNATTENDED
18962.11*H	OK	1	ALL/ALL/ALL
18962.7*A	OK	1	UNATTENDED
18962.71*A	OK	1	UNATTENDED
18963.59*H	OK	1	UNATTENDED
18963.8*A	OK	1	ALL/ALL/ALL
18963.9*A	OK	1	UNATTENDED
18964.1*A	OK	1	ALL/MON-SAT/DALGT
18964.61*A	OK	1	IRREGULAR
18972.*A	OK	1	ALL/MON-SAT/0800-1700
18972.*A	OK	2	ALL/SUN/1300-1700
18972.51*A	OK	1	UNATTENDED
18974.*A	OK	1	UNATTENDED
18976.*A	OK	1	UNATTENDED
18978.3*A	OK	1	ALL/ALL/ALL
18978.32*A	OK	1	ALL/MON-FRI/0800-1700
18978.33*A	OK	1	ALL/ALL/ALL
18978.34*A	OK	1	UNATTENDED
18983.*A	OK	1	UNATTENDED
18984.01*A	OK	1	UNATTENDED
18986.21*H	OK	1	ALL/ALL/ALL
18986.22*H	OK	1	UNATTENDED
18986.3*A	OK	1	ALL/ALL/0800-1700
18989.*A	OK	1	ALL/ALL/0600-1800
18989.11*A	OK	1	UNATTENDED
18989.12*A	OK	1	ALL/MON-FRI/IREG
18989.16*A	OK	1	UNATTENDED
18994.*A	OK	1	ALL/MON-FRI/0700-1830
18994.*A	OK	2	ALL/SUN/0800-1700
18994.*A	OK	3	ALL/SAT/0700-1800
18996.3*A	OK	1	IRREGULAR
18997.1*A	OK	1	IRREGULAR
18997.12*A	OK	1	UNATTENDED
19004.1*A	OK	1	UNATTENDED
19010.12*A	OK	1	UNATTENDED
19010.16*A	OK	1	UNATTENDED
19010.18*A	OK	1	UNATTENDED
19014.08*H	OK	1	UNATTENDED
19014.1*A	OK	1	ALL/MON-SAT/0800-1700
19015.03*A	OK	1	UNATTENDED
19015.04*A	OK	1	UNATTENDED
19015.1*A	OK	1	ALL/MON-SAT/0900-1700
19015.1*A	OK	2	ALL/SUN/1300-1700
19015.15*A	OK	1	UNATTENDED
19015.18*A	OK	1	UNATTENDED
19015.2*A	OK	1	UNATTENDED
19020.*A	OK	1	ALL/MON-FRI/0800-1600
19022.*A	OK	1	UNATTENDED
19022.02*H	OK	1	ALL/ALL/ALL
19025.11*A	OK	1	IRREGULAR
19028.*A	OK	1	UNATTENDED
19030.*A	OK	1	UNATTENDED
19034.*A	OK	1	ALL/MON-FRI/0700-1600
19035.01*A	OK	1	UNATTENDED
19035.19*A	OK	1	UNATTENDED
19035.20*A	OK	1	UNATTENDED
19035.21*A	OK	1	UNATTENDED
19035.22*A	OK	1	UNATTENDED
19035.23*A	OK	1	UNATTENDED
19037.11*H	OK	1	UNATTENDED
19037.2*A	OK	2	ALL/MON-FRI/0700-1600
19038.*A	OK	1	UNATTENDED
19038.01*A	OK	1	IRREGULAR
19038.03*A	OK	1	ALL/ALL/SR-SS
19039.19*H	OK	1	ALL/M-F/0800-1700
19039.2*A	OK	1	UNATTENDED
19039.3*H	OK	1	UNATTENDED
19039.31*A	OK	1	UNATTENDED
19039.7*A	OK	1	ALL/ALL/ALL
19046.01*H	OK	1	UNATTENDED
19046.02*A	OK	1	ALL/MON-FRI/0900 - 1700
19051.*A	OK	1	UNATTENDED
19051.13*A	OK	1	UNATTENDED
19051.4*A	OK	1	UNATTENDED
19052.06*A	OK	1	UNATTENDED
19052.1*A	OK	1	UNATTENDED
19053.1*A	OK	1	UNATTENDED
19060.2*A	OK	1	UNATTENDED
19063.*A	OK	1	ALL/MON-FRI/0530-2000
19063.*A	OK	2	ALL/SAT-SUN/0530-1900
19063.01*A	OK	1	ALL/ALL/DALGT
19063.02*A	OK	1	UNATTENDED
19063.03*H	OK	1	UNATTENDED
19063.05*A	OK	1	UNATTENDED
19072.01*A	OK	1	UNATTENDED
19072.07*A	OK	1	UNATTENDED
19073.*H	OK	1	SEE REMARKS
19076.1*A	OK	1	UNATTENDED
19076.11*A	OK	1	UNATTENDED
19076.13*H	OK	1	UNATTENDED
19076.6*H	OK	1	ALL/ALL/ALL
19076.61*H	OK	1	UNATTENDED
19076.92*A	OK	1	UNATTENDED
19077.*A	OK	1	IRREGULAR
19078.01*A	OK	1	UNATTENDED
19080.*A	OK	1	ALL/ALL/0530-DUSK
19080.02*H	OK	1	ALL/ALL/ALL
